,Crop,ECG5000,ElectricDevices,FordA,StarLightCurves,TwoPatterns,UWaveGestureLibraryX,UWaveGestureLibraryY,UWaveGestureLibraryZ,Wafer
Beef,0.80±0.02,0.62±0.01,0.72±0.01,0.68±0.02,0.67±0.01,0.68±0.01,0.67±0.01,0.75±0.02,0.58±0.01,0.68±0.00
Car,0.88±0.01,0.73±0.01,0.85±0.01,0.89±0.00,0.90±0.00,0.81±0.00,0.90±0.01,0.88±0.00,0.83±0.01,0.79±0.01
Coffee,1.00±0.00,1.00±0.00,1.00±0.00,1.00±0.00,1.00±0.00,1.00±0.00,1.00±0.00,1.00±0.00,1.00±0.00,1.00±0.00
FaceFour,0.94±0.00,0.90±0.00,0.96±0.00,0.98±0.00,0.93±0.00,0.96±0.00,0.97±0.00,0.97±0.00,0.96±0.00,0.97±0.00
Meat,1.00±0.00,0.99±0.00,0.99±0.00,0.99±0.00,1.00±0.00,0.87±0.06,1.00±0.00,1.00±0.00,1.00±0.00,0.92±0.02
OliveOil,0.95±0.00,0.95±0.00,0.95±0.00,0.85±0.04,0.78±0.12,0.83±0.03,0.95±0.01,0.95±0.00,0.85±0.06,0.58±0.08
PickupGestureWiimoteZ,0.71±0.01,0.62±0.00,0.72±0.01,0.66±0.00,0.67±0.01,0.79±0.01,0.81±0.02,0.76±0.02,0.73±0.01,0.73±0.00
Rock,0.67±0.01,0.74±0.02,0.80±0.00,0.80±0.00,0.81±0.03,0.74±0.01,0.76±0.01,0.84±0.01,0.84±0.01,0.71±0.02
ShakeGestureWiimoteZ,0.85±0.01,0.83±0.00,0.92±0.00,0.89±0.00,0.81±0.00,0.92±0.00,0.90±0.01,0.92±0.01,0.85±0.00,0.90±0.00
Wine,0.95±0.00,0.96±0.00,0.95±0.01,0.97±0.00,0.97±0.01,0.83±0.01,0.96±0.00,0.97±0.00,0.97±0.00,0.90±0.00
