,Crop,ECG5000,ElectricDevices,FordA,StarLightCurves,TwoPatterns,UWaveGestureLibraryX,UWaveGestureLibraryY,UWaveGestureLibraryZ,Wafer
Beef,0.62±0.01,0.75±0.02,0.72±0.02,0.77±0.01,0.90±0.00,0.77±0.01,0.93±0.00,0.88±0.01,0.95±0.01,0.90±0.00
Car,0.87±0.01,0.95±0.00,0.94±0.00,0.96±0.00,0.96±0.00,0.98±0.00,0.97±0.00,0.97±0.00,0.98±0.00,0.94±0.00
Coffee,1.00±0.00,1.00±0.00,1.00±0.00,1.00±0.00,1.00±0.00,1.00±0.00,1.00±0.00,1.00±0.00,1.00±0.00,1.00±0.00
FaceFour,0.93±0.00,0.98±0.00,0.97±0.00,0.98±0.00,0.98±0.00,0.99±0.00,0.99±0.00,0.98±0.00,0.98±0.00,0.96±0.00
Meat,0.98±0.00,1.00±0.00,0.99±0.00,1.00±0.00,0.99±0.00,1.00±0.00,1.00±0.00,1.00±0.00,1.00±0.00,0.99±0.00
OliveOil,0.95±0.00,0.78±0.12,0.43±0.11,0.97±0.00,0.97±0.00,0.70±0.12,0.95±0.00,0.97±0.00,0.97±0.00,0.65±0.08
PickupGestureWiimoteZ,0.63±0.02,0.81±0.02,0.78±0.02,0.85±0.01,0.80±0.01,0.74±0.01,0.84±0.01,0.81±0.03,0.82±0.01,0.81±0.01
Rock,0.74±0.02,0.83±0.01,0.73±0.02,0.80±0.01,0.81±0.00,0.84±0.01,0.87±0.01,0.80±0.01,0.84±0.01,0.79±0.01
ShakeGestureWiimoteZ,0.86±0.00,0.95±0.00,0.93±0.00,0.94±0.00,0.92±0.00,0.93±0.00,0.93±0.00,0.94±0.00,0.95±0.00,0.94±0.00
Wine,0.97±0.01,0.95±0.00,0.96±0.00,0.97±0.00,0.87±0.04,0.96±0.00,0.96±0.00,0.98±0.00,0.98±0.00,0.86±0.04
