,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,target,accuracy,var
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Beef,0.35,0.0083
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Beef,0.37,0.009
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,Car,0.34,0.0012
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,Coffee,0.55,0.0057
4,4.0,4.0,4.0,4.0,4.0,4.0,,,,,FaceFour,0.41,0.0013
5,5.0,5.0,5.0,5.0,5.0,,,,,,Meat,0.4,0.0222
6,6.0,6.0,6.0,6.0,,,,,,,OliveOil,0.42,0.0
7,7.0,7.0,7.0,,,,,,,,PickupGestureWiimoteZ,0.34,0.0043
8,8.0,8.0,,,,,,,,,Rock,0.39,0.0015
9,9.0,,,,,,,,,,ShakeGestureWiimoteZ,0.53,0.0033
10,,,,,,,,,,,Wine,0.62,0.0118
